标题,品牌,城市,价格,新车价格,首付,里程,年份,排放标准
标致5008 2017款 380THP 精英版 7座,标致,北京,8.28,25.87,0.83万,6.39万公里,2017,国5
别克君威 2019款 20T 精英版 国V,别克,北京,8.81,20.69,0.88万,5.79万公里,2019,国5
奥迪A3 2017款 Sportback 35TFSI 运动版,奥迪,北京,9.18,26.18,0.92万,7.16万公里,2017,国5
大众途岳 2021款 280TSI 双离合 两驱 风尚版,大众,北京,10.68,18.81,1.07万,4.10万公里,2022,国6
丰田皇冠 2015款 2.0T 时尚版,丰田,北京,13.83,33.07,1.38万,5.65万公里,2016,国5
林肯冒险家 2022款 2.0T 两驱尊享版,林肯,北京,16.58,29.20,1.66万,2.29万公里,2022,国6
宝马X1 2021款 xDrive25Li 尊享型,宝马,北京,17.98,38.08,1.80万,4.32万公里,2021,国6
奥迪A4(进口) 2020款 Avant 先锋派 40TFSI 时尚动感型,奥迪,北京,18.88,38.30,1.89万,6.04万公里,2020,国6
路虎揽胜极光 2020款 249PS R-DYNAMIC S 运动版,路虎,北京,19.88,42.06,1.99万,4.56万公里,2021,国6
宝马X3 2021款 xDrive 28i M运动套装,宝马,北京,27.98,47.59,2.80万,2.72万公里,2021,国6
奥迪A6 2022款 Allroad quattro 55 TFSI 冰雪运动版,奥迪,北京,43.88,67.55,4.39万,3.13万公里,2022,国6
奔驰V级 2021款 V 260 L 尊贵版,奔驰,北京,45.18,68.68,4.52万,3.32万公里,2022,国6
现代瑞纳 2017款 1.4L 手动 焕新版 国V,现代,北京,3.58,5.99,0.36万,2.84万公里,2018,国5
长安奔奔EV 2019款 改款 EV360 标准版,长安,北京,3.68,8.18,0.37万,0.78万公里,2019,新能源
吉利汽车 吉利远景X3 2017款 1.5L 手动 精英版,吉利汽车,北京,3.68,6.43,0.37万,2.24万公里,2019,国5
广汽传祺 传祺GS3 2017款 150N 手动 精英版,广汽传祺,北京,4.28,9.30,0.43万,2.84万公里,2018,国5
东南DX7 2017款 1.5T 手自一体 豪华版,东南,北京,4.52,14.84,0.45万,8.77万公里,2018,国5
零跑汽车 零跑T03 2021款 400 微糖版,零跑汽车,北京,4.76,7.40,0.48万,1.26万公里,2021,新能源
比亚迪元新能源 2018款 EV360 智联创酷版,比亚迪,北京,4.76,11.51,0.48万,6.05万公里,2018,新能源
广汽传祺 传祺GS4 2017款 235T 双离合 两驱 精英版,广汽传祺,北京,4.98,15.27,0.50万,5.19万公里,2017,国5
斯柯达昕动 2016款 改款 1.6L 自动 智行版,斯柯达,北京,5.06,12.63,0.51万,4.65万公里,2018,国5
长安逸动EV 2019款 EV460 智领版,长安,北京,5.18,15.93,0.52万,5.93万公里,2018,国6
大众桑塔纳 2016款 1.6L 自动 风尚版,大众,北京,5.22,11.52,0.52万,1.40万公里,2018,国5
比亚迪宋MAX 2017款 1.5TI 双离合 智联尊贵版 7座,比亚迪,北京,5.27,13.73,0.53万,9.52万公里,2018,国5
本田凌派 2015款 1.8L 自动 豪华版,本田,北京,5.38,15.38,0.54万,5.67万公里,2015,国5
魏牌VV5 2017款 WEY VV5　2.0T旗舰型,魏牌,北京,5.58,18.50,0.56万,8.88万公里,2017,国5
MINI COUNTRYMAN 2011款 1.6L COOPER Fun,MINI,北京,6.58,31.98,0.66万,9.59万公里,2013,国4
大众Polo 2019款 Plus 1.5L 手自一体 全景乐享版,大众,北京,6.68,12.63,0.67万,1.97万公里,2021,国6
大众速腾 2017款 1.6L 手自一体 舒适版,大众,北京,6.68,17.15,0.67万,4.07万公里,2016,国5
本田飞度 2021款 1.5L 潮越版,本田,北京,7.11,11.51,0.71万,1.80万公里,2021,国6
福特翼虎 2017款 EcoBoost 180 两驱 豪翼版,福特,北京,7.18,21.79,0.72万,8.38万公里,2017,国5
领克03 2019款 1.5TD 双离合 劲 国VI,领克,北京,7.78,15.60,0.78万,4.85万公里,2019,国6
捷途X70 PLUS 2021款 改款 1.6T 双离合 天,捷途,北京,7.88,15.62,0.79万,5.67万公里,2021,国6
别克君威 2017款 30H 豪华版,别克,北京,7.98,26.99,0.80万,7.39万公里,2018,国5
斯柯达明锐 2021款 1.5L 手自一体 舒适版,斯柯达,北京,8.18,13.40,0.82万,2.33万公里,2022,国6
大众速腾 2018款 280TSI 双离合 豪华版,大众,北京,8.58,19.14,0.86万,6.54万公里,2019,国5
长安欧尚Z6 2022款 1.5T 双离合智尊型,长安欧尚,北京,8.88,12.63,0.89万,2.03万公里,2023,国6
吉利汽车 吉利豪越 2022款 1.8TD 双离合 豪华型 7座,吉利汽车,北京,8.98,14.04,0.90万,0.69万公里,2023,国6
雪佛兰探界者 2018款 550T 四驱 拓界版,雪佛兰,北京,8.98,25.90,0.90万,8.34万公里,2018,国5
捷途X70 2023款 诸葛 2.0T 双离合孔明 5座,捷途,北京,9.28,16.72,0.93万,1.51万公里,2023,国6
长安UNI-T 2022款 运动版 1.5T 双离合旗舰型,长安,北京,9.56,15.83,0.96万,1.75万公里,2022,国6
大众途安L 2018款 280TSI 双离合 拓界版 6座 国V,大众,北京,9.58,20.12,0.96万,3.31万公里,2019,国5
宝马3系 2016款 320Li 2.0T 手自一体 进取型,宝马,北京,9.58,36.53,0.96万,7.80万公里,2015,国5
广汽传祺 传祺M6 2021款 270T 双离合豪华版 7座,广汽传祺,北京,9.59,14.83,0.96万,3.64万公里,2021,国6
宝马1系 2020款 120i 时尚版,宝马,北京,9.78,22.45,0.98万,3.60万公里,2019,国6
日产楼兰 2017款 2.5L 两驱 精英版,日产,北京,9.83,26.92,0.98万,9.67万公里,2017,国5
铃木吉姆尼 2012款 1.3L 自动 JLX,铃木,北京,10.48,17.25,1.05万,5.71万公里,2016,国4
长安CS75PLUS 2023款 第三代 1.5T 尊贵型,长安,北京,10.58,14.84,1.06万,0.25万公里,2023,国6
大众途岳 2020款 280TSI 双离合 两驱 舒适版 国VI,大众,北京,10.68,20.69,1.07万,2.56万公里,2020,国6
斯柯达柯迪亚克 2018款 TSI380 四驱 旗舰版 7座,斯柯达,北京,10.86,30.30,1.09万,3.92万公里,2018,国5
大众探岳 2019款 330TSI 双离合 两驱 豪华型 国VI,大众,北京,12.38,24.68,1.24万,5.97万公里,2019,国6
雷克萨斯UX 纯电动 2020款 300e 纯·享版,雷克萨斯,北京,12.46,43.06,1.25万,5.64万公里,2021,新能源
吉利银河 银河L7 2023款 1.5T 115km 星舰,吉利银河,北京,12.47,19.68,1.25万,1.70万公里,2023,国6
本田雅阁 2018款 260TURBO 旗舰版 国V,本田,北京,12.68,25.88,1.27万,4.24万公里,2019,国5
奔驰GLA 2018款 GLA 200 动感版,奔驰,北京,12.78,30.30,1.28万,7.24万公里,2019,国5
大众途岳 2020款 280TSI 双离合 两驱 旗舰版 国V,大众,北京,12.88,23.12,1.29万,2.17万公里,2021,国5
大众途岳 2022款 280TSI 两驱豪华版,大众,北京,12.88,20.55,1.29万,2.38万公里,2022,国6
英菲尼迪Q50L 2018款 2.0T 豪华运动版 国V,英菲尼迪,北京,13.05,43.61,1.31万,7.81万公里,2018,国5
本田皓影 2021款 240TURBO CVT 两驱 精英版,本田,北京,13.38,20.35,1.34万,3.09万公里,2021,国6
红旗HS5 2022款 改款 2.0T 手自一体 两驱 智联旗享版,红旗,北京,13.47,22.57,1.35万,1.94万公里,2023,国6
凯迪拉克XT4 2018款 28T 两驱 领先版,凯迪拉克,北京,13.98,32.51,1.40万,3.78万公里,2019,国6
奔驰CLA级 2018款 CLA 200 动感版,奔驰,北京,13.98,28.87,1.40万,7.23万公里,2019,国5
大众帕萨特 2022款 330TSI 精英版,大众,北京,14.26,23.25,1.43万,1.98万公里,2022,国6
本田雅阁 2022款 260TURBO 豪华版,本田,北京,14.58,21.79,1.46万,4.01万公里,2022,国6
奔驰A级 2020款 改款 A 200 L 运动轿车时尚型,奔驰,北京,14.66,29.75,1.47万,3.00万公里,2020,国6
丰田凯美瑞 2023款 2.0G 豪华版,丰田,北京,16.28,22.57,1.63万,0.38万公里,2023,国6
沃尔沃XC60 2018款 T5 四驱 智远运动版,沃尔沃,北京,16.93,48.04,1.69万,7.96万公里,2018,国5
奔驰C级 2018款 C 200 L 运动轿车,奔驰,北京,17.58,39.30,1.76万,5.80万公里,2018,国5
凯迪拉克CT5 2021款 28T 尊贵型,凯迪拉克,北京,19.28,36.19,1.93万,3.46万公里,2021,国6
宝马5系(进口) 2019款 改款 525i M运动套装,宝马,北京,21.08,46.94,2.11万,9.46万公里,2019,国6
奥迪A4L 2022款 40 TFSI 时尚动感型,奥迪,北京,21.78,36.09,2.18万,2.03万公里,2023,国6
鸿蒙智行问界M5 2023款 增程版 230km 四驱智驾版,鸿蒙智行,北京,23.68,33.62,2.37万,0.36万公里,2023,国6
奥迪Q5L 2022款 40 TFSI 时尚动感型,奥迪,北京,27.96,44.39,2.80万,2.52万公里,2022,国6
魏牌高山 2024款 1.5T 140km 旗舰版 7座,魏牌,北京,28.58,42.03,2.86万,0.36万公里,2023,国6
奥迪A8 2023款 奥迪A8L（进口）50TFSI quattro 臻选型,奥迪,北京,64.4,103.48,6.44万,1.11万公里,2023,国6
威马汽车 威马EX5 2018款 EX5 400 Extra创新版,威马汽车,北京,5.48,25.04,0.55万,6.34万公里,2018,新能源
比亚迪宋Pro 2019款 1.5TI 双离合 精英型,比亚迪,北京,5.79,11.51,0.58万,2.53万公里,2020,国6
别克威朗 2022款 Pro 1.5T 乐享版,别克,北京,6.88,15.94,0.69万,3.22万公里,2022,国6
本田英仕派 2019款 260TURBO CVT 精耀版 国VI,本田,北京,12.26,24.78,1.23万,5.17万公里,2019,国6
宝马1系 2021款 改款 125i M运动曜夜版,宝马,北京,14.26,27.77,1.43万,1.43万公里,2022,国6
日产途乐 2018款 4.0L 四驱 领英版（中东版）,日产,北京,26.98,62.48,2.70万,7.10万公里,2019,国5
起亚狮跑 2013款 2.0L 自动 两驱 GLS,起亚,北京,3.78,15.27,0.38万,6.96万公里,2014,国4
日产天籁 2013款 2.5XL 领先版,日产,北京,5.38,23.28,0.54万,15.29万公里,2014,国5
哈弗H6 2021款 1.5GDIT 双离合 冠军版,哈弗,北京,6.28,13.85,0.63万,4.11万公里,2020,国6
日产骐达 2021款 1.6L CVT智行版,日产,北京,6.88,14.17,0.69万,4.26万公里,2020,国6
现代途胜 2018款 1.6T 双离合 两驱 15周年纪念版,现代,北京,7.38,20.36,0.74万,7.97万公里,2018,国5
大众宝来 2021款 1.5L 自动精英智联版,大众,北京,7.58,15.95,0.76万,4.83万公里,2021,国6
长安CS55PLUS 2022款 第二代 1.5T 双离合领航型,长安,北京,8.18,13.95,0.82万,1.51万公里,2022,国6
奔驰GLA 2015款 220 4MATIC 时尚型,奔驰,北京,9.68,35.87,0.97万,7.68万公里,2016,国5
奥迪A3 2020款 Sportback 35 TFSI 时尚型,奥迪,北京,10.89,24.10,1.09万,6.37万公里,2020,国6
铃木吉姆尼 2015款 1.3L 自动 JLX版,铃木,北京,11.18,17.25,1.12万,6.05万公里,2017,国5
本田奥德赛 2017款 2.4L CVT 至尊版,本田,北京,13.98,33.65,1.40万,11.98万公里,2017,国5
宝马3系 2019款 320Li 2.0T 手自一体 时尚版,宝马,北京,14.68,35.54,1.47万,6.06万公里,2019,国6
大众帕萨特 2022款 330TSI 精英版,大众,北京,15.18,23.25,1.52万,2.58万公里,2022,国6
大众途观L 2022款 330TSI 两驱R-Line越享版,大众,北京,16.61,27.44,1.66万,3.86万公里,2021,国6
奔驰威霆 2021款 2.0T 商务版 7座,奔驰,北京,26.08,38.94,2.61万,6.00万公里,2021,国6
宝马7系 2018款 730Li 2.0T 手自一体 尊享版 M运动套装,宝马,北京,38.98,99.82,3.90万,3.54万公里,2017,国5
雪佛兰科鲁兹 2011款 1.6 SL AT 天地版,雪佛兰,北京,2.08,14.62,0,6.52万公里,2010,国4
日产轩逸 2012款 1.6L 手动 XE 经典舒适版,日产,北京,3.48,11.51,0.35万,10.03万公里,2016,国4
斯柯达昕锐 2015款 1.6L 自动 智选版,斯柯达,北京,4.08,12.18,0.41万,11.04万公里,2015,国5
吉利汽车 吉利帝豪GS 2018款 领潮版 1.4T 双离合 臻尚智联版,吉利汽车,北京,4.69,12.95,0.47万,3.84万公里,2018,国5
吉利汽车 吉利帝豪GS 2018款 领潮版 1.4T 双离合 臻尚智联版,吉利汽车,北京,4.95,12.95,0.50万,9.18万公里,2018,国5
荣威Ei5 2018款 互联网旗舰版,荣威,北京,5.06,25.21,0.51万,2.95万公里,2018,新能源
吉利汽车 吉利博越 2016款 1.8T 手自一体 两驱 智尚版,吉利汽车,北京,5.08,14.17,0.51万,7.58万公里,2018,国5
吉利汽车 吉利远景X3 2021款 PRO 1.5L CVT 尊贵型,吉利汽车,北京,5.18,8.09,0.52万,1.46万公里,2021,国6
Jeep指南者 2017款 200T 家享四驱版,Jeep,北京,5.98,22.12,0.60万,12.71万公里,2018,国5
长安逸动 2021款 PLUS 蓝鲸NE 1.4T GDI 双离合 旗舰版,长安,北京,6.03,11.96,0.60万,6.97万公里,2021,国6
现代名图 2017款 1.6T 双离合 智能版 国V,现代,北京,6.18,18.14,0.62万,7.83万公里,2017,国5
别克昂科威 2016款 20T 两驱精英型,别克,北京,6.18,26.56,0.62万,11.43万公里,2015,国5
斯柯达速派 2016款 TSI330 双离合 智行版,斯柯达,北京,6.81,24.78,0.68万,7.82万公里,2016,国5
丰田雷凌 2021款 185T CVT 豪华版,丰田,北京,6.88,14.83,0.69万,3.50万公里,2021,国6
现代领动 2020款 1.4T 双离合 炫动·活力型,现代,北京,6.94,14.27,0.69万,5.91万公里,2020,国6
大众速腾 2018款 180TSI 双离合 臻享版,大众,北京,7.18,17.15,0.72万,3.33万公里,2019,国5
捷达VS7 2020款 280TSI 手自一体 悦享型,捷达,北京,7.48,14.49,0.75万,6.34万公里,2021,国6
别克GL6 2019款 18T 互联尊贵版 6座 国VI,别克,北京,7.58,18.92,0.76万,3.76万公里,2019,国6
现代伊兰特 2022款 1.5L CVT尊贵版,现代,北京,7.72,14.16,0.77万,2.35万公里,2022,国6
领克03 2019款 1.5TD 双离合 劲Pro 国VI,领克,北京,7.88,16.93,0.79万,6.25万公里,2019,国6
大众迈腾 2016款 1.8T 手自一体 智享舒适型,大众,北京,7.98,24.01,0.80万,5.73万公里,2016,国5
丰田RAV4荣放 2015款 2.0L CVT 两驱 风尚版,丰田,北京,7.98,22.57,0.80万,8.41万公里,2016,国5
魏牌VV7 2019款 升级款 2.0T 旗舰版 国VI,魏牌,北京,8.38,21.35,0.84万,3.97万公里,2019,国6
本田思域 2016款 220TURBO CVT 豪华版,本田,北京,8.78,15.94,0.88万,5.55万公里,2019,国5
本田杰德 2020款 1.8L 自动 舒适版 5座,本田,北京,8.86,15.95,0.89万,7.88万公里,2020,国5
标致5008 2017款 380THP 无界版 7座,标致,北京,8.88,26.53,0.89万,9.16万公里,2018,国5
奇瑞 瑞虎7 PLUS 2023款 冠军版 1.5T CVT非凡版,奇瑞,北京,8.98,12.85,0.90万,0.38万公里,2024,国6
丰田奕泽 E进擎 2020款 E·智行版,丰田,北京,8.98,25.43,0.90万,3.42万公里,2021,新能源
大众宝来 2023款 200TSI 双离合智行版,大众,北京,9.21,15.06,0.92万,1.95万公里,2023,国6
领克01 2021款 2.0T 两驱型Pro,领克,北京,10.48,20.36,1.05万,6.98万公里,2022,国6
现代ix35 2021款 2.0L 自动 两驱 领先版GLS,现代,北京,10.58,15.94,1.06万,1.23万公里,2023,国6
本田思铂睿 2017款 混动 2.0L E-CVT 净驰版,本田,北京,10.98,28.11,1.10万,4.16万公里,2018,国5
斯柯达柯迪亚克GT 2019款 TSI380 双离合 四驱 豪华版 国VI,斯柯达,北京,11.38,25.68,1.14万,5.91万公里,2020,国6
MINI CLUBMAN 2016款 改款 1.5T COOPER,MINI,北京,11.86,30.75,1.19万,7.97万公里,2016,国5
红旗HS5 2022款 2.0T 手自一体 四驱 智联旗享版,红旗,北京,11.96,24.12,1.20万,4.72万公里,2021,国6
大众途岳 2021款 280TSI 双离合 两驱 豪华版plus,大众,北京,12.38,21.46,1.24万,3.07万公里,2021,国6
领克05 2020款 2.0TD 手自一体 四驱 劲Halo,领克,北京,12.86,24.01,1.29万,3.53万公里,2021,国6
宝马1系 2021款 改款 120i M运动曜夜版,宝马,北京,12.88,25.55,1.29万,2.86万公里,2022,国6
本田皓影 2021款 240TURBO CVT 两驱 精英版,本田,北京,12.96,20.35,1.30万,3.90万公里,2021,国6
日产奇骏 2020款 2.5L CVT 四驱 豪华领航版 5座,日产,北京,13.18,27.53,1.32万,5.36万公里,2021,国6
日产奇骏 2021款 2.5L CVT 四驱 豪华领航版 5座,日产,北京,13.88,27.53,1.39万,7.22万公里,2021,国6
本田CR-V 2021款 240TURBO CVT 两驱 风尚版,本田,北京,15.46,23.45,1.55万,1.62万公里,2022,国6
本田UR-V 2017款 370TURBO 手自一体 四驱 尊享版 国V,本田,北京,15.48,32.85,1.55万,9.58万公里,2018,国5
宝马X1 2020款 sDrive25Li 领先型,宝马,北京,16.48,34.77,1.65万,3.94万公里,2020,国6
宝马X5 M 2010款 4.4T 手自一体 V8,宝马,北京,16.58,224.13,1.66万,6.72万公里,2011,国4
大众途观L 2022款 330TSI 两驱智享版,大众,北京,16.76,26.55,1.68万,1.32万公里,2022,国6
丰田凯美瑞 2021款 双擎 2.5HGVP 领先版,丰田,北京,16.82,24.82,1.68万,1.18万公里,2023,国6
凯迪拉克XT5 2020款 28T 四驱 豪华型,凯迪拉克,北京,16.86,41.39,1.69万,5.60万公里,2019,国6
凯迪拉克XT5 2020款 28T 两驱 豪华型,凯迪拉克,北京,17.18,39.18,1.72万,6.86万公里,2019,国6
奔驰C级 2020款 C 260 运动版,奔驰,北京,19.28,34.87,1.93万,7.33万公里,2019,国6
路虎揽胜极光 2020款 249PS R-DYNAMIC S 运动版,路虎,北京,20.78,42.06,2.08万,3.76万公里,2021,国6
宝马iX3 2022款 改款 550km 领先型,宝马,北京,21.88,45.27,2.19万,1.94万公里,2023,新能源
福特探险者 2020款 EcoBoost 285 四驱风尚版 7座,福特,北京,23.98,37.00,2.40万,4.20万公里,2021,国6
宝马X3 2020款 xDrive 28i M运动套装,宝马,北京,26.28,47.59,2.63万,4.88万公里,2020,国6
本田飞度 2018款 1.5L CVT 舒适天窗版,本田,北京,5.48,9.96,0.55万,3.97万公里,2018,国5
荣威RX5 2020款 20T 双离合 两驱 4G互联超越旗舰版,荣威,北京,5.98,14.71,0.60万,4.85万公里,2019,国6
日产天籁 2013款 2.0XL 舒适版,日产,天津,6.48,21.02,0.65万,7.62万公里,2015,国5
本田XR-V 2017款 1.8L VTi CVT 豪华版 国V,本田,天津,7.18,18.48,0.72万,6.09万公里,2017,国5
东南DX3 2019款 1.5L 手动 尊贵版 国VI,东南,天津,3.78,8.53,0.38万,4.38万公里,2019,国6
奇瑞新能源小蚂蚁 2021款 15万蚁粉款 蚁酷版,奇瑞新能源,天津,4.39,8.17,0.44万,2.65万公里,2021,新能源
零跑汽车 零跑T03 2021款 400 微糖版,零跑汽车,天津,4.98,7.40,0.50万,3.47万公里,2022,新能源
长安CS75PLUS 2022款 经典版 1.5T 先锋型,长安,天津,8.18,13.51,0.82万,6.59万公里,2023,国6
长安UNI-T 2022款 2.0T 自动领航型,长安,天津,9.16,16.50,0.92万,2.77万公里,2022,国6
大众探歌 2020款 280TSI 双离合 两驱 舒适型,大众,天津,9.28,19.36,0.93万,4.09万公里,2020,国6
别克君越 2018款 20T 豪华版,别克,天津,9.56,29.20,0.96万,7.63万公里,2019,国5
红旗HS5 2019款 2.0T 手自一体 两驱 智联旗享版,红旗,天津,11.48,22.57,1.15万,3.64万公里,2021,国6
奥迪A4L 2018款 30周年版 40 TFSI 运动版,奥迪,天津,14.96,41.09,1.50万,5.60万公里,2018,国5
大众途观L 2021款 330TSI 双离合 两驱 R-Line越享版,大众,天津,15.5,28.10,1.55万,0.77万公里,2021,国6
本田雅阁 2022款 混动 2.0L E-CVT 幻夜·锐智版,本田,天津,13.66,26.66,1.37万,2.67万公里,2021,国6
长安CS75 2020款 280T 双离合 两驱 尊贵型 国VI,长安,天津,6.68,13.73,0.67万,2.86万公里,2020,国6
大众途观 2016款 300TSI 手自一体 四驱 风尚视野版,大众,天津,6.98,27.66,0.70万,8.40万公里,2016,国5
奥迪Q3 2015款 35 TFSI quattro 技术型,奥迪,天津,8.98,37.42,0.90万,8.68万公里,2016,国4
本田奥德赛 2019款 2.0L E-CVT 锐·智享版,本田,天津,17.58,30.96,1.76万,5.66万公里,2020,国6
路虎发现运动版 2020款 249PS R-Dynamic  性能版 5座,路虎,天津,18.98,42.84,1.90万,4.27万公里,2021,国6
保时捷Panamera 2014款 Panamera 4 3.0T,保时捷,天津,32.18,138.32,3.22万,8.61万公里,2014,国5
思皓花仙子 2021款 集美版 豪华型,思皓,天津,4.43,8.25,0.44万,3.60万公里,2022,新能源
零跑汽车 零跑T03 2020款 400 轻享版,零跑汽车,天津,4.88,7.07,0.49万,5.68万公里,2021,新能源
沃尔沃V40 2013款 V40 智逸版,沃尔沃,天津,5.5,29.22,0.55万,9.43万公里,2013,
启辰D60 2021款 PLUS 1.6L CVT悦领版,启辰,天津,5.78,10.84,0.58万,6.70万公里,2021,国6
哈弗H6 2021款 国潮版 1.5T 两驱都市版,哈弗,天津,6.98,11.41,0.70万,2.92万公里,2022,国6
大众Polo 2021款 Plus 1.5L 自动全景乐享版,大众,天津,6.98,12.74,0.70万,3.54万公里,2022,国6
沃尔沃S60 2016款 T5 智驭版,沃尔沃,天津,7.78,38.20,0.78万,8.49万公里,2015,国5
现代途胜 2019款 280TGDi 双离合 两驱 时尚版 国VI,现代,天津,8.58,20.36,0.86万,4.78万公里,2019,国6
比亚迪唐 2019款 2.0TI 手自一体 智联尊荣版 5座 国VI,比亚迪,天津,8.68,17.61,0.87万,1.32万公里,2020,国6
福特翼虎 2019款 EcoBoost 180 两驱 铂翼版 国VI,福特,天津,8.88,20.35,0.89万,3.87万公里,2021,国6
日产天籁 2019款 2.0L XL Upper 智行版,日产,天津,9.68,22.57,0.97万,4.62万公里,2019,国6
英菲尼迪Q50L 2016款 2.0T 悦享版,英菲尼迪,天津,9.8,34.77,0.98万,9.01万公里,2017,国5
标致508L 2022款 360THP 驾趣版,标致,天津,9.98,19.90,1.00万,5.28万公里,2021,国6
别克昂科威 2020款 20T 双离合 两驱 领先版,别克,天津,10.88,21.47,1.09万,4.81万公里,2020,国6
比亚迪宋Pro新能源 2023款 DM-i 冠军版 1.5L 110km 卓越型,比亚迪,天津,11.78,18.14,1.18万,0.72万公里,2023,国6
本田雅阁 2018款 260TURBO 豪华版 国VI,本田,天津,12.88,22.56,1.29万,4.78万公里,2020,国6
凯迪拉克XTS 2018款 28T 技术版,凯迪拉克,天津,13.58,33.64,1.36万,6.69万公里,2019,国5
大众迈腾 2020款 330TSI 领先型,大众,天津,14.58,24.79,1.46万,3.00万公里,2021,国6
大众途昂 2017款 380TSI 四驱 豪华版,大众,天津,18.3,41.28,1.83万,7.05万公里,2018,国5
奔驰CLA级 2022款 改款 CLA 200,奔驰,天津,20.98,33.62,2.10万,0.68万公里,2022,国6
现代ix35 2015款 2.0L 手自一体 两驱 智能版 国V,现代,天津,4.88,20.03,0.49万,4.91万公里,2015,国5
荣威RX5 MAX 2019款 300TGI 手自一体 两驱 智能座舱豪华版,荣威,天津,6.88,16.93,0.69万,3.90万公里,2020,国6
荣威 科莱威CLEVER 2022款 311km 元气啵啵版,荣威,保定,3.98,7.97,0.40万,0.81万公里,2023,新能源
吉利汽车 吉利远景X6 2021款 PRO 1.4T 自动 尊贵版,吉利汽车,保定,6.98,10.41,0.70万,2.94万公里,2022,国6
日产逍客 2019款 2.0L CVT 豪华版,日产,保定,7.66,19.14,0.77万,5.59万公里,2019,国6
宝马X1 2016款 sDrive18Li 1.5T 手自一体 尊享版,宝马,保定,9.72,34.34,0.97万,7.44万公里,2017,国5
哈弗大狗 2021款 1.5T 两驱边牧-旺财版,哈弗,保定,9.82,15.28,0.98万,3.78万公里,2021,国6
哈弗大狗 2021款 改款 1.5T 两驱马犬版,哈弗,保定,10.58,16.27,1.06万,2.74万公里,2022,国6
日产奇骏 2017款 2.5L CVT 四驱 豪华版 5座,日产,保定,10.58,27.04,1.06万,4.80万公里,2018,国5
长安UNI-K 2021款 2.0T 两驱卓越型,长安,保定,10.98,17.50,1.10万,1.77万公里,2021,国6
荣威iMAX8 2021款 2.0T 手自一体 旗舰版,荣威,保定,12.98,21.35,1.30万,3.35万公里,2021,国6
Polestar极星Polestar 2 2020款 首发版,Polestar极星,保定,12.98,46.71,1.30万,3.39万公里,2022,国6
广汽传祺 传祺M8 2021款 领秀系列 390T 至尊版,广汽传祺,保定,16.93,26.21,1.69万,3.14万公里,2021,国6
