标题,品牌,城市,价格,新车价格,首付,里程,年份,排放标准
长城M4 2014款 1.5L 手动豪华型,长城,长沙,2.11万,6.89万,0.0, 7.73万公里,2014,N/A
宝马5系 2014款 525Li 豪华设计套装,宝马,苏州,15.35万,49.96万,0.0, 8.60万公里,2014,N/A
荣威e950 2016款 1.4T 豪华版,荣威,上海,2.99万,28.88万,0.0, 3.22万公里,2016,N/A
理想ONE 2020款 增程6座版,理想汽车,武汉,19.60万,32.80万,0.0, 3万公里,2020,N/A
宝马5系 2014款 525Li 领先型,宝马,昆明,16.50万,46.66万,0.0, 11万公里,2014,N/A
起亚K4 2014款 1.8L 自动LUX,起亚,海口,5.38万,17.08万,0.0, 8.61万公里,2014,N/A
大众CC 2021款 330TSI 上市特别版,大众,西安,17.30万,26.68万,0.0, 1.98万公里,2021,N/A
蒙迪欧 2020款 EcoBoost 180 时尚型,福特,青岛,11.68万,19.28万,0.0, 1.20万公里,2020,N/A
红旗H5经典 2020款 1.8T 自动智联旗韵版,红旗,海口,8.68万,16.28万,0.0, 4.65万公里,2020,N/A
奔驰B级 2019款 B 200 动感型,奔驰,福州,9.78万,23.88万,0.0, 9.90万公里,2019,N/A
福克斯Active 2020款 EcoBoost 180 自动劲潮型,福特,东莞,6.88万,13.98万,0.0, 4万公里,2020,N/A
高尔夫 2017款 230TSI 自动舒适百万辆纪念版,大众,东莞,6.98万,15.49万,0.0, 9万公里,2017,N/A
捷豹XEL 2021款 2.0T 200PS R-DYNAMIC 青春运动版,捷豹,广州,18.50万,29.98万,0.0, 3万公里,2021,N/A
凌派 2022款 180Turbo CVT豪华版 ,本田,深圳,7.38万,11.98万,0.0, 1.40万公里,2022,N/A
奥迪A3 2020款 Limousine 35 TFSI 时尚型 国VI,奥迪,南京,9.98万,21.97万,0.0, 8.10万公里,2020,N/A
宝马X2 2021款 改款 sDrive25i 曜夜版,宝马,长沙,17.58万,30.38万,0.0, 3.47万公里,2021,N/A
卡罗拉 2019款 1.2T S-CVT GL-i豪华版,丰田,揭阳,7.90万,13.58万,0.0, 2.20万公里,2019,N/A
爱丽舍 2017款 1.6L 自动时尚型,雪铁龙,长沙,3.98万,9.58万,0.0, 7.27万公里,2017,N/A
大指挥官 2022款 2.0T 四驱豪华版,Jeep,重庆,16.98万,28.98万,0.0, 2.90万公里,2022,N/A
思铂睿 2015款 2.4L 豪华版,本田,东莞,8.38万,21.98万,0.0, 11万公里,2015,N/A
小鹏P7 2021款 670E鹏翼版,小鹏汽车,广州,21.36万,38.69万,0.0, 1.40万公里,2021,N/A
途胜 2019款 280TGDi 双离合两驱智联版 国V,现代,长沙,9.18万,17.99万,0.0, 4.68万公里,2019,N/A
奥迪A4L 2018款 30周年年型 40 TFSI 进取型,奥迪,深圳,11.98万,30.70万,0.0, 12万公里,2018,N/A
帕萨特 2020款 改款 280TSI 商务版 国VI,大众,绵阳,11.88万,18.59万,0.0, 3.30万公里,2020,N/A
奔驰C级 2016款 C 180 L,奔驰,广州,12.80万,32.58万,0.0, 10.60万公里,2016,N/A
宝来 2019款 改款 1.5L 自动精英型 国VI,大众,长沙,7.26万,13.90万,0.0, 7.56万公里,2019,N/A
轩逸 2016款 经典 1.6XE 自动舒适版,日产,东莞,3.98万,10.98万,0.0, 8万公里,2016,N/A
KX CROSS 2017款 1.4L 自动GLS,起亚,海口,4.88万,8.59万,0.0, 5.09万公里,2017,N/A
Macan 2017款 Macan 2.0T,保时捷,南京,26.80万,55.00万,0.0, 5万公里,2017,N/A
逍客 2017款 2.0L CVT精英版 国V,日产,深圳,6.88万,15.38万,0.0, 6.90万公里,2017,N/A
大切诺基(进口) 2016款 3.0TD 柴油 75周年致敬版,Jeep,长沙,21.60万,65.99万,0.0, 19万公里,2016,N/A
奔驰GLC 2016款 GLC 260 4MATIC 动感型,奔驰,佛山,17.68万,42.80万,0.0, 10.90万公里,2016,N/A
长安UNI-K 2021款 2.0T 尊贵型,长安,温州,11.28万,16.99万,0.0, 2万公里,2021,N/A
奥迪Q3 2022款 35 TFSI 时尚动感型,奥迪,达州,19.58万,29.28万,0.0, 0.50万公里,2022,N/A
荣威i6 MAX 2020款 300TGI 自动爽酷智驾版,荣威,长沙,6.48万,11.88万,0.0, 4.95万公里,2020,N/A
MINI COUNTRYMAN 2017款 1.5T COOPER ALL4,MINI,武汉,13.88万,27.38万,0.0, 2.70万公里,2017,N/A
欧蓝德 2019款 2.4L 四驱致享版 7座 国VI,三菱,广州,10.88万,19.88万,0.0, 3.30万公里,2019,N/A
长安UNI-T 2021款 1.5T 卓越型,长安,东莞,7.78万,11.59万,0.0, 3万公里,2021,N/A
ZEEKR 001 2023款 ME版 100kWh 四驱,极氪,重庆,23.58万,34.90万,0.0, 0.24万公里,2023,N/A
宝马5系 2018款 528Li 上市特别版,宝马,沈阳,22.98万,44.99万,0.0, 7.30万公里,2018,N/A
Model 3 2020款 标准续航后驱升级版,特斯拉,海口,14.88万,29.18万,0.0, 6.76万公里,2020,N/A
驱逐舰 05 2022款 DM-i 55KM 舒适型,比亚迪,成都,8.28万,12.18万,0.0, 0.50万公里,2022,N/A
唐 2019款 2.0T 自动智联尊贵型 5座 国VI,比亚迪,绵阳,8.68万,14.49万,0.0, 7.15万公里,2019,N/A
宝马X3 2020款 xDrive30i 领先型 M运动套装,宝马,西安,26.90万,47.98万,0.0, 4.90万公里,2020,N/A
缤智 2020款 1.5L CVT先锋版,本田,东莞,8.38万,13.88万,0.0, 5万公里,2020,N/A
宝来 2019款 改款 1.5L 自动精英型 国V,大众,长沙,7.81万,13.90万,0.0, 4.82万公里,2019,N/A
雷克萨斯ES 2015款 300h 豪华版,雷克萨斯,佛山,17.68万,40.10万,0.0, 8.40万公里,2015,N/A
领克05 2020款 2.0TD 四驱劲Halo,领克,海口,12.88万,21.28万,0.0, 4.37万公里,2020,N/A
奔驰A级 2019款 A 180 L,奔驰,广州,13.80万,21.18万,0.0, 1.30万公里,2019,N/A
奔驰C级 2020款 C 260 L,奔驰,昆明,21.08万,34.68万,0.0, 5.80万公里,2020,N/A
领克03 2022款 2.0TD DCT劲Pro,领克,长沙,11.26万,16.28万,0.0, 3.55万公里,2022,N/A
宝马5系 2019款 改款 530Li 领先型 豪华套装,宝马,东莞,26.38万,46.39万,0.0, 7万公里,2019,N/A
奔驰C级 2021款 C 260 L 运动版,奔驰,深圳,23.98万,34.68万,0.0, 3.20万公里,2021,N/A
马自达CX-5 2019款 2.0L 自动两驱智尚型 国VI,马自达,海口,9.98万,18.98万,0.0, 7.12万公里,2019,N/A
传祺GS3 2017款 150N 自动精英版,广汽传祺,海口,5.81万,8.88万,0.0, 2.82万公里,2017,N/A
冠道 2017款 240TURBO 两驱舒享版,本田,深圳,12.98万,24.58万,0.0, 9.90万公里,2017,N/A
思域 2016款 180TURBO CVT舒适版,本田,广州,6.80万,12.79万,0.0, 9万公里,2016,N/A
荣威ERX5 2017款 ERX5 EV400 电动互联豪华版,荣威,上海,5.48万,27.18万,0.0, 4.40万公里,2017,N/A
绅宝X35 2016款 1.5L 手动精英版,北京汽车,海口,3.43万,6.98万,0.0, 2.28万公里,2016,N/A
冠道 2017款 240TURBO 两驱精英版,本田,深圳,9.98万,22.00万,0.0, 14.60万公里,2017,N/A
江淮iEV6E 2018款 运动版 豪华智享型,江汽集团,新乡,3.28万,15.88万,0.0, 4万公里,2018,N/A
宝沃BX7 2018款 28T 两驱质享型 5座 国V,宝沃,东莞,4.70万,18.98万,0.0, 4.50万公里,2018,N/A
奔驰C级 2020款 C 260 L 运动版,奔驰,广州,21.68万,34.68万,0.0, 5.70万公里,2020,N/A
柯珞克 2020款 TSI280 智行科技版,斯柯达,长沙,8.18万,13.99万,0.0, 5.47万公里,2020,N/A
AMG GT 2022款 AMG GT 50 4MATIC+ 四门跑车特别版,奔驰,合肥,76.80万,130.68万,0.0, 2.60万公里,2022,N/A
奥迪Q5L 2020款 45 TFSI 尊享风雅型,奥迪,长沙,25.99万,47.50万,0.0, 7.20万公里,2020,N/A
雷凌 2021款 TNGA 1.5L 进取版,丰田,长沙,7.68万,11.38万,0.0, 3.30万公里,2021,N/A
宝马6系GT 2021款 630i M运动套装,宝马,合肥,42.60万,62.89万,0.0, 2.85万公里,2021,N/A
宝马5系PHEV 2022款 二次改款 535Le M运动套装,宝马,深圳,34.80万,50.95万,0.0, 1万公里,2022,N/A
途昂X 2020款 改款 330TSI 两驱尊崇豪华版,大众,沈阳,20.58万,31.99万,0.0, 2.20万公里,2020,N/A
RAV4荣放 2019款 2.0L CVT两驱风尚X限量版 国VI,丰田,佛山,11.27万,20.18万,0.0, 8万公里,2019,N/A
豪越 2020款 1.8TD DCT豪华型,吉利汽车,长沙,8.18万,11.96万,0.0, 3.88万公里,2020,N/A
北京BJ80 2020款 3.0T 自动至尊型,北京,深圳,20.98万,34.80万,0.0, 4.20万公里,2020,N/A
柯迪亚克 2017款 TSI330 5座两驱标准版,斯柯达,广州,8.38万,18.98万,0.0, 11.77万公里,2017,N/A
奔驰S级 2021款 S 450 L 4MATIC,奔驰,武汉,91.80万,125.88万,0.0, 2.80万公里,2021,N/A
MG6 2012款 掀背 1.8L 手动驾值版,名爵,苏州,0.90万,12.68万,0.0, 9万公里,2012,N/A
威马EX5 2018款 EX5 400 Lite探索版,威马汽车,上海,5.78万,20.73万,0.0, 5万公里,2018,N/A
唐DM-i 2015款 DM 2.0T 四驱旗舰型,比亚迪,上海,4.36万,27.98万,0.0, 4.94万公里,2015,N/A
捷豹F-PACE 2019款 3.0 SC 四驱S高性能版,捷豹,青岛,28.48万,78.78万,0.0, 3.70万公里,2019,N/A
宝骏RS-3 2020款 1.5L CVT智能精英型,宝骏,惠州,4.98万,8.18万,0.0, 4.30万公里,2020,N/A
奥迪Q4 e-tron 2022款 40 e-tron 先享版,奥迪,济南,19.20万,33.70万,0.0, 2.16万公里,2022,N/A
缤越 2021款 260T DCT星耀版,吉利汽车,海口,7.38万,9.98万,0.0, 2.02万公里,2021,N/A
奔驰E级 2019款 改款 E 300 L 运动时尚型,奔驰,深圳,28.68万,46.58万,0.0, 6.90万公里,2019,N/A
沃尔沃S90 RECHARGE 2022款 T8 E驱混动 智逸豪华版,沃尔沃,邯郸,26.80万,49.99万,0.0, 3.90万公里,2022,N/A
发现 2020款 3.0 V6 SE,路虎,沈阳,45.80万,74.28万,0.0, 7万公里,2020,N/A
轩逸·纯电 2019款 智尊版,日产,东莞,6.28万,25.40万,0.0, 5.20万公里,2019,N/A
汉兰达 2015款 2.0T 四驱至尊版 7座,丰田,揭阳,17.80万,33.08万,0.0, 5.03万公里,2015,N/A
沃尔沃S60(进口) 2013款 T5 舒适版,沃尔沃,上海,4.08万,32.29万,0.0, 9.30万公里,2013,N/A
优6 SUV 2014款 1.8T 智尊型,纳智捷,东莞,2.08万,16.68万,0.0, 11万公里,2014,N/A
奔驰C级 2021款 C 260 L 运动星耀臻藏版,奔驰,西安,23.60万,35.68万,0.0, 4.53万公里,2021,N/A
哈弗M6 2019款 1.5T DCT两驱精英型 国VI,哈弗,东莞,5.08万,8.20万,0.0, 5万公里,2019,N/A
奥迪Q5L 2020款 改款 40 TFSI 荣享时尚型,奥迪,武汉,25.80万,41.58万,0.0, 3.50万公里,2020,N/A
君威 2011款 2.4L SIDI旗舰版,别克,上海,2.18万,25.09万,0.0, 11.80万公里,2011,N/A
大7 SUV 2014款 2.2T 两驱智慧型,纳智捷,东莞,1.98万,22.68万,0.0, 11.60万公里,2014,N/A
大众CC 2021款 380TSI 夺目版,大众,东莞,17.88万,26.79万,0.0, 5万公里,2021,N/A
T-ROC探歌 2018款 230TSI DSG两驱进取型 国V,大众,海口,8.46万,15.58万,0.0, 5.09万公里,2018,N/A
荣威750 2009款 1.8T 750S 迅雅版AT,荣威,上海,0.86万,18.38万,0.0, 7.50万公里,2009,N/A
英朗 2012款 XT 1.6L 自动时尚版,别克,上海,1.38万,14.99万,0.0, 8.60万公里,2012,N/A
奔驰C级 2019款 改款 C 260 L 运动版,奔驰,东莞,20.38万,34.68万,0.0, 5.60万公里,2019,N/A
宝马X3(进口) 2013款 xDrive20i 豪华型,宝马,广州,8.68万,49.90万,0.0, 21万公里,2013,N/A
奔驰S级 2019款 S 350 L 尊贵型,奔驰,南京,54.48万,92.68万,0.0, 10万公里,2019,N/A
标致308 2014款 乐享版 经典 1.6L 手动风尚型,标致,东莞,2.00万,11.39万,0.0, 6.80万公里,2014,N/A
君越 2012款 2.4L SIDI豪华版,别克,上海,2.56万,27.59万,0.0, 8.50万公里,2012,N/A
本田XR-V 2017款 1.5L LXi CVT经典版,本田,长沙,7.53万,13.78万,0.0, 6.01万公里,2017,N/A
奥迪A6L 2008款 2.4L 技术型,奥迪,上海,2.30万,42.45万,0.0, 11万公里,2008,N/A
凯迪拉克CT5 2021款 改款 28T 豪华型,凯迪拉克,广州,18.88万,29.97万,0.0, 4.30万公里,2021,N/A
揽胜运动版 2019款 3.0 V6 特别版,路虎,石家庄,53.30万,90.48万,0.0, 9.62万公里,2019,N/A
福克斯 2007款 两厢 1.8L 自动时尚型,福特,上海,0.76万,13.98万,0.0, 8.80万公里,2007,N/A
秦DM 2015款 1.5T 双冠旗舰Plus版,比亚迪,深圳,3.98万,21.98万,0.0, 2.70万公里,2015,N/A
马自达6 2011款 2.0L 自动时尚型,马自达,苏州,1.75万,17.98万,0.0, 9.20万公里,2011,N/A
奔驰GLA 2019款 GLA 200 动感型,奔驰,合肥,12.50万,26.48万,0.0, 5.90万公里,2019,N/A
君威 2010款 2.4L 旗舰版,别克,上海,1.45万,24.89万,0.0, 9万公里,2010,N/A
科鲁兹 2009款 1.8L SX AT,雪佛兰,上海,0.86万,14.89万,0.0, 10万公里,2009,N/A
凯美瑞 2019款 2.0G 豪华版 国VI,丰田,苏州,13.60万,19.98万,0.0, 1.72万公里,2019,N/A
君威 2010款 2.0L 世博版,别克,北京,2.17万,20.39万,0.0, 9.88万公里,2010,N/A
奔驰C级(进口) 2004款 C 200K,奔驰,深圳,2.58万,39.80万,0.0, 15万公里,2004,N/A
神行者2 2010款 3.2 i6 自动HSE汽油版,路虎,温州,4.25万,64.80万,0.0, 12.80万公里,2010,N/A
奥迪A4L 2022款 40 TFSI 豪华动感型,奥迪,汕头,23.50万,34.38万,0.0, 1.40万公里,2022,N/A
阿特兹 2021款 2.5L 蓝天运动版,马自达,海口,13.68万,19.98万,0.0, 4.34万公里,2021,N/A
奥迪e-tron(进口) 2019款 55 quattro 技术型,奥迪,杭州,24.00万,76.08万,0.0, 4.50万公里,2019,N/A
宝骏630 2012款 1.5L DVVT手动标准型,宝骏,东莞,0.98万,6.58万,0.0, 3.70万公里,2012,N/A
威驰 2014款 1.5L 自动智臻版,丰田,海口,4.58万,8.78万,0.0, 7.34万公里,2014,N/A
科鲁泽 2019款 RS 330T 自动畅快版,雪佛兰,成都,4.10万,11.49万,0.0, 1.25万公里,2019,N/A
标致3008 2015款 1.6THP 自动至尚版,标致,上海,4.30万,22.07万,0.0, 7.20万公里,2015,N/A
昊锐 2009款 1.8TSI 自动优雅版,斯柯达,上海,1.45万,20.59万,0.0, 9.10万公里,2009,N/A
菲翔 2012款 1.4T 自动悦享版,菲亚特,上海,1.38万,12.28万,0.0, 9.30万公里,2012,N/A
林肯MKC 2018款 2.0T 四驱尊雅版,林肯,深圳,10.98万,34.68万,0.0, 6.40万公里,2018,N/A
英朗 2019款 15T 双离合进取型 国VI,别克,上海,3.80万,11.89万,0.0, 5.80万公里,2019,N/A
林肯MKT 2010款 3.5T EcoBoost AWD,林肯,杭州,8.80万,119.80万,0.0, 20万公里,2010,N/A
科鲁兹 2012款 1.6L SE MT,雪佛兰,北京,1.36万,11.99万,0.0, 9万公里,2012,N/A
指南者(进口) 2012款 2.0L 两驱运动版,Jeep,南京,2.58万,22.19万,0.0, 9.80万公里,2012,N/A
马自达6 2008款 2.0L 自动时尚型,马自达,上海,1.38万,17.98万,0.0, 9.10万公里,2008,N/A
途观 2012款 2.0TSI 自动四驱菁英版,大众,上海,3.38万,28.68万,0.0, 9.20万公里,2012,N/A
奔驰CLS 2021款 CLS 300 动感型,奔驰,北京,46.98万,63.78万,0.0, 2.69万公里,2021,N/A
艾力绅 2016款 2.4L 风尚版,本田,揭阳,16.90万,27.58万,0.0, 8.80万公里,2016,N/A
奥迪Q5L 2022款 改款 45T 豪华动感型,奥迪,武汉,33.18万,45.18万,0.0, 1万公里,2022,N/A
奔驰C级 2008款 C 200K 时尚型,奔驰,上海,3.08万,39.50万,0.0, 11.30万公里,2008,N/A
奥迪A4L 2020款 40 TFSI 时尚动感型,奥迪,沈阳,20.90万,31.88万,0.0, 5.90万公里,2020,N/A
奥迪A6L 2021款 45 TFSI 臻选动感型,奥迪,济南,30.98万,44.38万,0.0, 3.46万公里,2021,N/A
蔚来EC6 2020款 430KM 运动版,蔚来,南京,14.98万,36.80万,0.0, 3.60万公里,2020,N/A
凯迪拉克XTS 2018款 28T 精英型,凯迪拉克,福州,13.10万,31.99万,0.0, 7万公里,2018,N/A
博瑞 2016款 1.8T 舒适型,吉利汽车,成都,3.98万,13.98万,0.0, 5.80万公里,2016,N/A
荣威ei6 2017款 45T 混动互联智享版,荣威,深圳,3.28万,20.18万,0.0, 12.20万公里,2017,N/A
长安UNI-K 2021款 2.0T 尊贵型,长安,长沙,11.19万,16.99万,0.0, 4.86万公里,2021,N/A
荣威Ei5 2018款 互联网旗舰版,荣威,海口,4.58万,22.38万,0.0, 7.90万公里,2018,N/A
宋Pro DM-i 2022款 DM-i 110km 旗舰型,比亚迪,阳江,11.68万,15.78万,0.0, 0.86万公里,2022,N/A
沃尔沃S80L 2009款 3.0T AWD 智尊版,沃尔沃,石家庄,2.85万,67.86万,0.0, 19万公里,2009,N/A
帕萨特 2011款 1.8TSI 自动尊荣版,大众,上海,2.68万,21.58万,0.0, 9.80万公里,2011,N/A
长安CS75 PLUS 2022款 第二代 1.5T 自动尊享型,长安,海口,9.68万,12.99万,0.0, 1.70万公里,2022,N/A
宝马X3 2018款 xDrive28i M运动套装 国VI,宝马,东莞,24.68万,42.58万,0.0, 6万公里,2018,N/A
宝马3系 2010款 325i 时尚型,宝马,上海,3.58万,40.80万,0.0, 10万公里,2010,N/A
长安欧尚X5 2021款 改款 1.5T DCT豪华型,长安欧尚,上海,4.08万,8.89万,0.0, 1.30万公里,2021,N/A
标致508 2014款 2.3L 罗兰·加洛斯版,标致,上海,3.98万,23.43万,0.0, 7.90万公里,2014,N/A
长安欧尚X5 2021款 改款 1.5T DCT豪华型,长安欧尚,上海,4.08万,8.89万,0.0, 1.23万公里,2021,N/A
途安 2011款 1.4T 自动智臻版5座,大众,上海,2.48万,19.38万,0.0, 11万公里,2011,N/A
奔驰C级 2019款 改款 C 260 L 运动版,奔驰,东莞,21.58万,34.68万,0.0, 5万公里,2019,N/A
凯迪拉克ATS-L 2017款 28T 时尚型,凯迪拉克,上海,8.58万,29.38万,0.0, 4.70万公里,2017,N/A
天语 SX4 2008款 两厢 1.6L 手动运动休旅型,铃木,成都,0.98万,10.88万,0.0, 15万公里,2008,N/A
奥迪A6L 2019款 45 TFSI 臻选动感型,奥迪,漳州,.,.,0.0, ,2019,N/A
奥迪A4L 2023款 40 TFSI 豪华动感型,奥迪,沙,.,.,0.0, .,2023,N/A
酷威 2010款 2.7,道奇,北京,.,.,0.0, .,2010,N/A
雷克萨斯NX 2018款 300h 前驱 锋尚版 国V,雷克萨斯,深圳,.,.,0.0, ,2018,N/A
飞度 2006款 1.5 无级 普通版,本田,,.,.,0.0, ,2006,N/A
天籁 2009款 2.5 无级 周年纪念版,日产,北京,.,.,0.0, .,2009,N/A
荣威RX5 2016款 20T 两驱自动豪华版,荣威,,.,.,0.0, ,2016,N/A
奔驰C级 2010款 C 200 CGI 时尚型,奔驰,深圳,.,.,0.0, ,2010,N/A
途胜 2009款 2.0L 手动两驱时尚型,现代,北京,.,.,0.0, .,2009,N/A
奔驰E级 2014款 E 400 L Hybrid,奔驰,广州,.,.,0.0, ,2014,N/A
高尔夫(进口) 2012款 1.4TSI 豪华敞篷版,大众,苏州,.,.,0.0, .,2012,N/A
宝马5系 2008款 523Li 典雅型,宝马,,.,.,0.0, .,2008,N/A
宝马3系 2021款 325Li M运动曜夜套装,宝马,沙,.,.,0.0, .,2021,N/A
Polo 2016款 1.4L 自动风尚型,大众,,.,.,0.0, .,2016,N/A
福克斯 2015款 两厢 1.6L 自动风尚型,福特,莞,.,.,0.0, ,2015,N/A
宝马5系(进口) 2011款 535i 豪华运动型,宝马,佛,.,.,0.0, ,2011,N/A
奥迪A5 2021款 Sportback 40 TFSI 时尚致雅型,奥迪,郑州,.,.,0.0, .,2021,N/A
猎豹CS10 2017款 2.0T 自动都市型,猎豹汽车,莞,.,.,0.0, .,2017,N/A
银河L7 2023款 1.5T DHT 115km 星舰,吉利银河,青岛,.,.,0.0, .,2023,N/A
银河L7 2023款 1.5T DHT 115km 星舰,吉利银河,青岛,.,.,0.0, .,2023,N/A
奔腾B70 2021款 1.5T 自动乐享型,奔腾,苏州,4.18万,10.59万,0.0, 2.80万公里,2021,N/A
雷克萨斯IS 2006款 300,雷克萨斯,杭州,4.18万,39.98万,0.0, 15万公里,2006,N/A
迈锐宝 2013款 2.0L 自动豪华版,雪佛兰,广州,2.69万,18.19万,0.0, 13万公里,2013,N/A
奔驰GLC 2020款 GLC 260 L 4MATIC 豪华型,奔驰,福州,28.88万,42.28万,0.0, 4万公里,2020,N/A
奔驰C级 2021款 C 260 星耀臻藏版,奔驰,合肥,21.80万,31.88万,0.0, 4.45万公里,2021,N/A
沃尔沃S80L 2009款 2.5T 智雅版,沃尔沃,上海,2.80万,42.98万,0.0, 11.70万公里,2009,N/A
迈腾 2009款 2.0TSI DSG豪华型,大众,昆明,1.78万,26.38万,0.0, 17.40万公里,2009,N/A
雅阁 2008款 2.4L EXL Navi,本田,上海,2.88万,26.48万,0.0, 11万公里,2008,N/A
科鲁泽 2019款 RS 330T 自动痛快版,雪佛兰,苏州,3.79万,11.99万,0.0, 5.60万公里,2019,N/A
奥德赛 2015款 改款 2.4L 智享版,本田,苏州,12.80万,26.68万,0.0, 16万公里,2015,N/A
科帕奇 2017款 2.4L 四驱旗舰版 7座,雪佛兰,重庆,4.86万,20.99万,0.0, 11万公里,2017,N/A
锐程CC 2020款 1.5T 自动潮锐型,长安,成都,4.50万,11.29万,0.0, 2.30万公里,2020,N/A
缤智 2022款 1.5L CVT幻夜·先锋版,本田,海口,9.68万,14.08万,0.0, 2.36万公里,2022,N/A
荣威550 2012款 550 1.8L 自动超值版,荣威,东莞,1.52万,13.98万,0.0, 12.60万公里,2012,N/A
唐DM-i 2015款 DM 2.0T 四驱豪华型,比亚迪,深圳,4.88万,25.13万,0.0, 8.50万公里,2015,N/A
奔驰C级 2013款 C 180 经典型 Grand Edition,奔驰,苏州,4.80万,31.50万,0.0, 12.70万公里,2013,N/A
帕萨特 2011款 2.0TSI DSG至尊版,大众,上海,3.20万,28.48万,0.0, 10.30万公里,2011,N/A
雅阁 2005款 2.4L 加热版,本田,广州,1.68万,24.18万,0.0, 16万公里,2005,N/A
